house_index,bedrooms,property_type,property_subtype,locality,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
0,2,APARTMENT,PENTHOUSE,Wellen,HYPER_EQUIPPED,,380000,,True,16,False,,AS_NEW,,,,,159,,
1,2,APARTMENT,APARTMENT,Jauche,INSTALLED,2,179000,False,True,15,False,,TO_BE_DONE_UP,True,5,False,,97,,
4,2,APARTMENT,LOFT,Diksmuide,INSTALLED,,299000,False,True,,False,,GOOD,,,,,115,,
3,2,APARTMENT,PENTHOUSE,Bruxelles,NOT_INSTALLED,2,239000,False,,,False,,GOOD,,,False,,95,,
5,3,APARTMENT,APARTMENT,Gent,,,365000,False,True,7,False,,,,,,,124,,
6,,,,,,,,,,,,,,,,,,,,
2,2,APARTMENT,APARTMENT,Jodoigne,INSTALLED,2,179000,False,True,15,False,,TO_BE_DONE_UP,True,5,False,,97,,
8,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,
11,4,HOUSE,HOUSE,ANTWERPEN,INSTALLED,2,665000,,True,23,False,,GOOD,,,,94,192,94,
9,3,HOUSE,HOUSE,DUFFEL,,,348000,,True,33,False,,GOOD,,,,92,195,92,
13,2,APARTMENT,APARTMENT,MECHELEN,INSTALLED,2,299500,,True,7,False,,JUST_RENOVATED,,,,,79,,
10,5,HOUSE,VILLA,LIPPELO,INSTALLED,4,649000,,True,75,False,,GOOD,,,True,593,174,593,
14,2,APARTMENT,APARTMENT,MECHELEN,INSTALLED,2,299500,,True,7,False,,JUST_RENOVATED,,,,,79,,
12,2,APARTMENT,APARTMENT,Zeebrugge,INSTALLED,2,294000,,True,,False,,GOOD,,,,,58,,
15,2,APARTMENT,APARTMENT,MECHELEN,INSTALLED,2,305000,,True,7,False,,JUST_RENOVATED,,,,,80,,
